ir_L,ir_R,degree
0.0,0.0,0.0
2.8,12.6,49.61
2.9,13.0,49.56
2.9,13.0,49.63
2.9,12.9,49.57
2.8,12.5,50.74
2.8,12.1,58.32
2.9,11.8,66.14
3.0,11.8,70.83
3.1,11.9,70.82
3.3,12.1,70.85
3.6,12.1,70.84
3.8,12.4,70.81
6.7,12.4,70.81
12.2,12.9,70.8
40.3,13.0,70.79
54.9,13.6,70.8
56.6,13.8,70.81
46.3,14.2,70.79
29.3,14.3,69.56
22.1,14.4,66.78
24.8,14.3,66.74
23.0,14.9,66.78
18.7,15.0,66.76
24.2,15.5,62.76
20.8,15.7,61.29
15.0,16.2,49.74
13.0,16.4,49.97
13.1,16.5,49.96
14.1,16.6,50.0
16.3,16.8,50.02
22.2,16.9,54.39
24.3,17.1,57.04
21.4,17.3,57.05
17.1,17.4,57.07
14.2,17.5,57.04
13.7,17.6,57.06
15.3,17.8,57.03
20.2,17.8,57.03
24.0,17.8,55.86
24.6,17.9,51.71
23.6,17.8,51.68
25.9,17.8,51.66
29.7,17.8,49.89
35.2,17.9,49.98
37.9,18.0,50.08
38.8,18.0,50.09
38.6,17.7,50.11
38.2,17.3,50.13
37.8,15.9,50.1
36.8,14.5,50.23
37.7,12.9,50.16
38.1,12.6,50.19
38.1,13.6,50.13
38.8,14.4,50.16
39.1,15.2,50.24
39.2,15.6,50.13
39.3,15.7,50.13
39.5,15.9,50.18
39.2,16.1,50.15
39.9,16.0,50.15
39.8,15.7,50.13
40.1,15.0,50.14
39.6,14.4,50.14
39.8,13.6,50.2
39.3,13.1,50.15
37.5,12.8,50.2
35.1,13.0,50.15
33.3,13.6,50.13
33.0,14.1,50.13
33.3,14.9,50.25
32.7,15.3,50.19
32.7,16.0,50.13
31.7,16.5,50.1
30.3,17.0,50.16
31.9,17.0,50.14
31.8,16.6,50.2
32.2,16.2,50.23
31.0,15.4,50.16
25.0,14.9,50.2
18.7,14.4,50.14
12.4,14.1,50.14
6.2,14.7,50.18
4.5,15.4,50.23
3.7,15.4,50.21
3.5,14.9,50.15
3.3,14.8,50.11
3.2,14.3,50.2
3.2,15.7,50.17
3.2,15.0,50.14
3.1,14.6,50.13
3.1,15.0,50.15
3.1,15.1,50.07
3.0,14.0,50.09
3.0,13.2,47.92
3.0,12.6,45.54
3.0,12.6,38.01
2.9,12.4,34.63
2.9,12.0,34.57
3.0,11.5,34.71
2.9,11.1,34.7
2.9,10.4,34.7
2.9,10.0,34.63
2.8,9.4,28.95
2.9,8.4,25.55
2.8,7.3,25.48
2.7,5.5,25.53
2.6,4.7,25.53
2.7,4.0,25.57
2.6,3.6,25.56
2.7,3.9,25.52
2.8,4.1,25.7
2.8,4.0,25.52
2.9,3.8,25.56
3.1,3.8,25.53
3.2,3.9,25.52
3.2,4.6,25.51
3.5,5.4,17.77
3.8,6.5,16.62
4.6,7.1,16.68
5.1,8.8,16.62
6.1,9.8,16.57
6.6,9.7,16.64
7.3,7.7,16.74
8.3,6.4,16.79
8.9,6.0,16.8
10.0,5.7,16.82
10.9,9.6,20.23
13.0,15.3,21.66
14.2,17.1,21.64
15.7,16.6,39.7
15.7,16.8,44.87
15.8,18.0,45.02
15.8,20.1,45.01
15.6,21.7,45.04
15.3,22.9,44.99
15.1,23.8,45.02
15.2,24.2,44.71
14.9,24.2,42.84
14.6,24.5,42.67
14.6,24.7,42.71
14.6,24.6,37.03
14.7,23.8,34.72
14.8,23.5,34.76
14.9,23.6,34.71
14.8,23.5,34.77
14.9,22.5,34.66
16.0,21.7,34.7
25.9,21.5,34.71
12.1,21.1,35.04
10.2,20.7,35.01
7.7,20.3,35.06
6.2,19.7,35.01
4.6,19.6,35.05
3.7,19.1,35.06
3.2,18.7,35.04
2.9,18.5,35.29
2.9,19.0,35.0
2.6,19.2,35.01
2.4,18.8,35.04
2.5,17.4,34.98
2.5,16.2,35.03
2.7,14.7,34.87
2.4,13.8,32.23
2.3,12.6,32.15
2.4,12.0,32.13
2.5,11.0,31.7
2.7,10.0,25.97
2.4,9.4,25.83
2.5,8.3,25.83
2.6,7.5,25.8
2.9,6.3,18.73
3.0,5.5,15.14
3.0,4.3,15.02
3.1,3.9,14.99
3.4,3.8,15.07
3.7,3.9,5.39
3.8,4.5,0.03
4.1,5.1,0.03
4.4,7.1,0.03
4.9,9.5,0.03
5.2,12.3,0.07
5.6,13.6,0.02
6.1,14.3,0.17
7.1,15.1,0.16
8.0,16.2,0.04
9.5,16.6,17.42
9.7,15.1,39.01
9.8,12.9,39.81
10.3,11.9,41.27
12.0,11.3,42.64
13.0,10.9,41.98
13.6,10.8,33.17
13.0,10.6,27.34
12.3,10.5,26.5
11.3,10.5,25.69
11.4,11.1,29.72
12.4,13.5,29.7
13.8,16.7,35.4
16.2,17.4,40.29
17.7,17.0,41.63
20.1,16.3,41.68
21.1,14.8,41.68
21.7,13.2,41.59
22.3,11.6,41.58
24.4,11.0,41.59
26.6,11.8,41.57
29.3,13.6,41.62
30.4,16.1,41.61
31.0,17.2,41.56
30.7,18.1,41.72
31.4,18.3,41.58
31.0,18.7,41.59
31.5,18.6,41.57
31.8,18.4,41.55
31.7,18.3,41.57
31.5,18.3,41.6
32.3,18.3,41.58
32.4,18.3,41.57
32.0,18.2,41.59
32.3,18.2,41.57
32.2,18.3,41.59
32.3,18.2,41.7
32.3,18.3,44.45
32.3,18.3,44.46
32.0,18.3,44.46
31.0,18.4,44.46
30.9,18.2,46.83
30.3,18.1,46.93
29.4,18.0,46.85
27.8,18.1,46.86
26.9,18.0,46.85
26.4,17.9,46.82
25.7,18.0,46.84
24.6,18.1,46.83
25.1,18.0,46.95
24.7,18.2,46.89
24.8,18.3,46.87
24.4,18.5,46.81
24.1,19.2,46.81
24.5,20.2,45.09
23.4,20.8,40.83
