ir1,ir2,degree
20.3,2.7,1
20.3,2.7,3
20.3,2.7,3
20.4,2.6,3
20.4,2.6,3
20.4,2.6,3
20.7,2.9,3
20.7,2.9,3
20.8,2.7,3
20.8,2.7,3
20.5,2.7,3
20.5,2.7,3
20.5,2.7,3
20.5,2.8,3
20.5,2.8,3
20.5,2.8,3
20.5,2.8,3
20.5,2.8,3
20.5,2.8,3
20.5,2.8,3
20.2,2.9,3
20.2,2.9,3
20.3,2.8,3
20.3,2.8,3
20.5,2.8,3
20.5,2.8,3
20.5,2.8,3
19.9,2.9,3
19.9,2.9,3
19.9,2.8,3
19.9,2.8,3
19.9,2.8,3
19.7,2.8,3
19.7,2.8,3
19.5,2.9,3
19.5,2.9,3
19.5,2.9,3
19.5,2.9,3
19.5,2.9,3
19.0,2.8,4
19.0,2.8,4
18.7,3.0,4
18.7,3.0,4
18.7,3.0,4
19.0,3.0,4
19.0,3.0,4
18.9,2.9,4
18.9,2.9,4
18.8,3.0,4
18.8,3.0,4
18.8,3.0,4
18.8,3.1,4
18.8,3.1,4
18.5,3.1,4
18.5,3.1,4
18.4,3.1,4
18.4,3.1,3
18.4,3.1,3
18.4,3.3,3
18.4,3.3,3
18.4,3.3,3
18.6,3.4,3
18.6,3.4,3
17.9,3.5,3
17.9,3.5,3
18.0,3.6,3
18.0,3.6,3
18.0,3.6,3
17.9,3.5,3
17.9,3.5,3
17.5,3.6,3
17.5,3.6,3
17.4,3.7,3
17.4,3.7,3
17.4,3.7,3
17.2,3.7,3
17.2,3.7,3
17.2,3.7,3
17.2,3.7,3
17.2,3.7,3
17.4,3.9,3
17.4,3.9,3
17.7,3.8,3
17.7,3.8,3
17.7,3.8,3
18.0,3.8,3
18.0,3.8,3
18.6,4.1,3
18.6,4.1,3
19.2,4.1,3
19.2,4.1,3
19.2,4.1,3
19.9,4.0,3
19.9,4.0,3
20.2,4.2,3
20.2,4.2,3
20.9,4.2,3
20.9,4.2,3
20.9,4.2,3
21.1,4.1,3
21.1,4.1,3
21.6,4.5,3
21.6,4.5,3
22.2,4.3,3
22.2,4.3,3
22.2,4.3,3
22.3,4.3,3
22.3,4.3,3
22.6,4.4,3
22.6,4.4,3
23.2,4.6,3
23.2,4.6,3
23.2,4.6,3
23.3,4.6,3
23.3,4.6,3
23.4,4.6,3
23.4,4.6,3
23.4,4.8,3
24.2,4.8,3
24.2,4.8,3
24.1,4.8,3
24.1,4.8,3
24.1,4.9,3
24.3,4.9,3
24.3,4.9,3
24.8,5.0,3
24.8,5.0,3
25.1,5.1,3
25.1,5.1,3
25.2,5.2,3
25.2,5.2,3
25.2,5.2,3
25.6,5.4,3
25.6,5.4,3
25.7,5.4,3
25.7,5.4,3
26.2,5.5,3
26.2,5.5,3
26.2,5.5,3
26.6,5.7,3
26.6,5.7,3
26.8,5.6,3
26.8,5.6,3
27.1,5.7,3
27.1,5.7,3
27.1,5.7,3
27.8,6.0,3
27.8,6.0,3
28.1,6.0,3
28.1,6.0,3
28.3,6.0,3
28.3,6.0,3
28.3,6.0,3
28.8,6.3,3
28.8,6.3,3
29.4,6.3,3
29.4,6.3,3
29.4,6.3,3
29.4,6.3,2
29.4,6.3,2
30.0,6.7,2
30.0,6.7,2
30.0,6.7,2
30.7,6.7,2
30.7,6.7,2
31.5,6.8,2
31.5,6.8,2
32.2,7.3,2
32.2,7.3,2
32.2,7.3,2
33.9,7.3,2
33.9,7.3,2
33.5,7.5,2
33.5,7.5,2
35.0,7.6,2
35.0,7.6,2
35.0,7.6,2
36.1,7.5,2
36.1,7.5,2
35.6,7.5,2
35.6,7.5,2
35.3,7.6,2
35.3,7.6,2
35.3,7.6,2
35.9,7.8,2
35.9,7.8,2
34.8,8.1,2
34.8,8.1,2
37.2,8.9,2
37.2,8.9,2
37.2,8.9,2
36.2,9.4,2
36.2,9.4,2
36.2,9.4,2
33.4,9.6,2
33.4,9.6,2
29.8,10.1,2
29.8,10.1,2
29.8,10.1,2
28.6,9.9,2
28.6,9.9,2
26.6,9.9,2
26.6,9.9,2
24.5,10.3,2
24.5,10.3,2
22.1,11.0,2
22.1,11.0,2
22.1,11.0,2
19.2,11.8,2
19.2,11.8,2
17.6,12.4,2
17.6,12.4,1
17.6,12.4,1
16.2,12.9,1
16.2,12.9,1
14.4,13.1,1
14.4,13.1,1
14.4,13.1,1
12.7,13.0,1
12.7,13.0,1
11.2,12.7,1
11.2,12.7,1
9.8,12.0,1
9.8,12.0,1
9.8,12.0,1
8.5,11.2,1
8.5,11.2,1
8.0,10.8,1
8.0,10.8,1
8.0,10.8,1
8.3,9.9,1
8.3,9.9,1
8.8,9.3,1
8.8,9.3,1
9.8,8.9,1
9.8,8.9,1
9.8,8.9,1
10.9,8.3,1
10.9,8.3,1
11.7,8.0,1
11.7,8.0,1
12.8,7.8,1
12.8,7.8,1
12.8,7.8,1
14.5,7.2,1
14.5,7.2,1
16.9,6.4,1
16.9,6.4,1
16.9,6.4,1
20.7,6.0,1
20.7,6.0,1
24.7,5.3,1
24.7,5.3,1
31.5,4.6,1
31.5,4.6,1
31.5,4.6,1
35.1,4.3,1
35.1,4.3,1
38.6,3.8,1
38.6,3.8,1
38.6,3.8,1
41.3,3.2,1
41.3,3.2,1
44.4,2.9,1
44.4,2.9,1
44.4,2.8,1
47.7,2.8,1
47.7,2.8,1
50.2,2.3,1
50.2,2.3,1
52.7,2.2,1
52.7,2.2,1
52.7,2.2,1
54.0,2.2,1
54.0,2.2,1
55.1,2.1,1
55.1,2.1,2
55.1,2.0,2
55.8,2.0,2
55.8,2.0,2
55.8,2.2,2
55.8,2.2,2
55.8,2.1,2
54.4,2.1,2
54.4,2.1,2
51.3,2.1,2
51.3,2.1,2
48.7,2.4,2
48.7,2.4,2
48.7,2.4,2
45.0,2.2,2
45.0,2.2,2
41.7,2.2,3
41.7,2.2,3
39.5,2.4,3
39.5,2.4,3
39.5,2.4,3
36.9,2.2,3
36.9,2.2,3
35.6,2.1,3
35.6,2.1,3
35.6,2.1,3
35.2,2.4,3
35.2,2.4,3
34.8,2.3,3
34.8,2.3,3
34.0,2.2,3
34.0,2.2,3
33.8,2.4,3
33.8,2.4,3
33.8,2.4,3
33.8,2.3,3
33.8,2.3,3
32.7,2.2,3
32.7,2.2,3
32.7,2.2,3
32.5,2.5,3
32.5,2.5,3
32.5,2.4,3
32.5,2.4,3
32.5,2.4,3
31.7,2.3,3
31.7,2.3,3
30.8,2.4,4
30.8,2.4,4
31.2,2.4,4
31.2,2.4,4
31.2,2.4,4
31.0,2.3,4
31.0,2.3,4
31.3,2.4,4
31.3,2.4,4
32.9,2.4,4
32.9,2.4,4
32.9,2.4,4
33.7,2.3,4
33.7,2.3,4
33.7,2.5,4
33.2,2.5,3
33.2,2.5,3
34.9,2.4,3
34.9,2.4,3
34.2,2.3,3
34.2,2.3,3
33.9,2.5,3
33.9,2.5,3
33.9,2.5,3
34.9,2.5,3
34.9,2.5,3
35.0,2.3,3
35.0,2.3,3
35.0,2.3,3
33.8,2.5,3
33.8,2.5,3
34.8,2.5,3
34.8,2.5,3
34.8,2.3,3
34.9,2.3,3
34.9,2.3,3
34.3,2.3,3
34.3,2.3,3
35.0,2.5,3
35.0,2.5,3
35.0,2.5,3
34.7,2.4,3
34.7,2.4,3
