ir1,ir2,degree,time
0,0,1,09:36:15.076829
0,0,1,09:36:15.139839
10.3,3.7,3,09:36:15.167985
10.3,3.7,3,09:36:15.196388
10.3,3.6,3,09:36:15.225030
10.3,3.6,3,09:36:15.252006
10.1,3.6,3,09:36:15.279903
10.1,3.5,3,09:36:15.307458
10.1,3.5,3,09:36:15.335205
10.0,3.8,3,09:36:15.366569
10.0,3.8,3,09:36:15.396604
9.9,3.5,3,09:36:15.427514
9.9,3.5,3,09:36:15.457658
9.8,3.5,3,09:36:15.486019
9.8,3.6,3,09:36:15.514022
9.8,3.6,3,09:36:15.542328
9.8,3.8,3,09:36:15.573476
9.8,3.8,3,09:36:15.602887
9.9,3.7,3,09:36:15.635904
9.9,3.7,3,09:36:15.665166
9.8,3.6,3,09:36:15.693768
9.8,3.6,3,09:36:15.720303
9.9,3.8,3,09:36:15.749404
9.9,3.8,3,09:36:15.776926
9.9,3.8,3,09:36:15.804022
10.3,3.7,3,09:36:15.833749
10.3,3.7,3,09:36:15.861603
10.2,3.6,3,09:36:15.890135
10.2,3.6,3,09:36:15.917724
10.3,3.6,3,09:36:15.944881
10.3,3.7,3,09:36:15.976569
10.8,3.7,3,09:36:16.007169
10.8,3.7,3,09:36:16.036488
10.8,3.7,3,09:36:16.065325
10.8,3.6,3,09:36:16.093747
10.8,3.6,3,09:36:16.121132
10.7,3.8,3,09:36:16.150855
10.7,3.8,3,09:36:16.178547
11.2,3.8,4,09:36:16.205330
11.2,3.8,4,09:36:16.232332
11.2,3.8,4,09:36:16.261105
11.0,3.7,4,09:36:16.292848
11.0,3.7,4,09:36:16.326253
10.8,3.9,4,09:36:16.356309
10.8,3.9,4,09:36:16.383338
11.1,4.1,4,09:36:16.410148
11.1,4.1,4,09:36:16.437991
10.8,4.1,4,09:36:16.466711
10.8,4.2,4,09:36:16.498034
10.5,4.2,4,09:36:16.528605
10.5,4.4,4,09:36:16.559335
10.5,4.4,4,09:36:16.586232
10.4,4.6,4,09:36:16.613296
10.4,4.6,4,09:36:16.640902
10.1,4.3,4,09:36:16.670076
10.1,4.3,3,09:36:16.700247
9.7,4.3,3,09:36:16.732373
9.7,4.3,3,09:36:16.761999
9.7,4.3,3,09:36:16.789465
9.6,4.4,3,09:36:16.819423
9.6,4.4,3,09:36:16.847587
9.6,4.2,3,09:36:16.879334
9.6,4.2,3,09:36:16.909418
9.6,4.1,3,09:36:16.941072
9.6,4.1,3,09:36:16.971103
9.7,4.1,3,09:36:17.000575
9.7,4.4,3,09:36:17.032266
9.9,4.4,3,09:36:17.062161
9.9,4.2,3,09:36:17.093073
9.9,4.2,3,09:36:17.123044
9.9,4.2,3,09:36:17.152506
9.9,4.2,3,09:36:17.179732
10.0,4.5,3,09:36:17.208472
10.0,4.5,3,09:36:17.235626
10.1,4.5,3,09:36:17.263031
10.1,4.4,3,09:36:17.290365
10.1,4.4,3,09:36:17.318033
10.1,4.2,3,09:36:17.345524
10.1,4.2,3,09:36:17.375731
10.1,4.6,3,09:36:17.407883
10.1,4.6,3,09:36:17.437789
10.3,4.6,3,09:36:17.468115
10.3,4.5,3,09:36:17.495750
10.2,4.5,3,09:36:17.523951
10.2,4.4,3,09:36:17.551490
10.1,4.4,3,09:36:17.583267
10.1,4.5,3,09:36:17.613446
10.1,4.5,3,09:36:17.642874
10.4,4.6,3,09:36:17.672144
10.4,4.6,3,09:36:17.699454
10.2,4.6,3,09:36:17.726369
10.2,4.5,3,09:36:17.754147
10.3,4.5,3,09:36:17.781522
10.3,4.6,3,09:36:17.809780
10.3,4.6,3,09:36:17.837014
10.6,4.7,3,09:36:17.866051
10.6,4.7,3,09:36:17.893604
10.5,4.6,3,09:36:17.921932
10.5,4.6,3,09:36:17.949476
10.5,4.6,3,09:36:17.979636
10.4,4.7,3,09:36:18.010805
10.4,4.7,3,09:36:18.040737
10.7,4.7,3,09:36:18.070611
10.7,4.7,3,09:36:18.097766
10.6,4.7,3,09:36:18.125666
10.6,4.7,3,09:36:18.154113
10.5,4.7,3,09:36:18.184033
10.5,4.8,3,09:36:18.214060
10.6,4.8,3,09:36:18.245012
10.6,5.0,3,09:36:18.272996
10.6,5.0,3,09:36:18.300572
10.8,4.8,3,09:36:18.328739
10.8,4.8,3,09:36:18.355925
10.7,4.8,3,09:36:18.383400
10.7,4.9,3,09:36:18.410731
10.7,4.9,3,09:36:18.439122
10.8,5.1,3,09:36:18.466468
10.8,5.1,3,09:36:18.493848
10.9,5.1,3,09:36:18.521037
10.9,4.9,3,09:36:18.549016
10.9,4.9,3,09:36:18.578631
10.9,4.9,3,09:36:18.609700
11.0,4.9,3,09:36:18.640449
11.0,5.2,3,09:36:18.670365
11.0,5.2,3,09:36:18.697770
11.1,5.0,3,09:36:18.726015
11.1,5.0,3,09:36:18.753578
11.1,5.0,3,09:36:18.784217
11.1,5.0,3,09:36:18.814974
11.2,5.0,3,09:36:18.845183
11.2,5.3,3,09:36:18.874478
11.2,5.3,3,09:36:18.902004
11.4,5.2,4,09:36:18.931631
11.4,5.2,4,09:36:18.958789
11.1,5.1,4,09:36:18.987231
11.1,5.1,4,09:36:19.014721
11.1,5.1,4,09:36:19.041671
11.1,5.3,4,09:36:19.069680
11.1,5.3,4,09:36:19.096933
11.1,5.0,4,09:36:19.124425
11.1,5.0,4,09:36:19.151738
10.5,5.0,4,09:36:19.182134
10.5,4.5,4,09:36:19.213055
10.1,4.5,4,09:36:19.242702
10.1,4.3,4,09:36:19.272532
10.1,4.3,4,09:36:19.300012
10.1,4.0,4,09:36:19.326964
10.1,4.0,4,09:36:19.354679
9.4,3.6,4,09:36:19.385988
9.4,3.6,4,09:36:19.415701
9.0,3.6,4,09:36:19.446390
9.0,3.5,4,09:36:19.475635
8.9,3.5,4,09:36:19.503474
8.9,3.2,4,09:36:19.531116
8.9,3.2,4,09:36:19.558535
8.3,3.0,4,09:36:19.586233
8.3,3.0,4,09:36:19.613494
7.7,3.0,4,09:36:19.640411
7.7,2.8,4,09:36:19.668407
7.6,2.8,4,09:36:19.695574
7.6,2.6,4,09:36:19.723405
7.6,2.6,4,09:36:19.750458
7.0,2.4,4,09:36:19.781203
7.0,2.4,4,09:36:19.812347
6.6,2.4,4,09:36:19.842274
6.6,2.3,4,09:36:19.872205
6.4,2.3,4,09:36:19.900990
6.4,2.3,4,09:36:19.928605
6.4,2.3,4,09:36:19.955940
6.1,2.0,4,09:36:19.987930
6.1,2.0,4,09:36:20.018146
5.7,2.1,4,09:36:20.048387
5.7,2.1,4,09:36:20.077237
5.5,2.2,4,09:36:20.105979
5.5,2.2,4,09:36:20.133011
5.5,2.2,4,09:36:20.160483
5.5,2.1,4,09:36:20.188176
5.5,2.1,4,09:36:20.215614
5.3,2.1,4,09:36:20.243637
5.3,2.1,4,09:36:20.270830
5.4,2.4,4,09:36:20.298809
5.4,2.4,4,09:36:20.325908
5.4,2.4,4,09:36:20.353658
5.6,2.2,4,09:36:20.384992
5.6,2.2,4,09:36:20.415859
5.9,2.2,4,09:36:20.447077
5.9,2.2,4,09:36:20.476896
6.3,2.4,3,09:36:20.505558
6.3,2.4,3,09:36:20.532764
7.3,2.4,3,09:36:20.560797
