ir_L,ir_R,degree
0.0,0.0,0.0
4.3,8.4,29.12
3.5,7.0,29.13
3.3,5.9,29.09
2.9,5.2,29.08
2.6,4.7,29.09
2.4,4.5,32.98
2.3,4.3,56.5
2.4,4.2,78.39
2.8,4.1,88.62
4.4,4.5,96.92
6.1,5.1,92.96
9.9,6.1,86.72
11.2,6.7,74.36
10.3,7.5,59.91
10.1,7.9,57.97
10.0,8.1,52.75
10.0,8.3,52.8
10.0,8.6,52.77
9.5,8.6,52.88
9.2,8.9,52.82
9.0,9.0,52.79
8.8,9.2,52.79
8.5,9.4,52.84
8.1,9.6,52.77
7.9,9.8,52.77
7.6,10.2,52.78
6.8,10.5,52.86
6.5,10.9,52.82
6.2,11.2,52.34
6.1,11.4,44.65
5.9,11.5,44.14
5.6,11.9,41.61
5.4,12.1,40.61
5.3,12.4,36.19
5.3,12.6,36.07
5.4,12.6,36.12
5.3,12.5,36.07
5.3,12.5,36.15
5.3,12.6,36.1
5.3,12.6,36.22
5.4,12.8,36.17
5.4,13.1,36.12
5.3,13.4,36.15
5.2,13.7,36.22
5.3,14.1,36.16
5.2,14.0,36.15
5.1,14.2,36.36
5.0,14.5,37.08
5.0,14.7,40.5
4.9,15.0,40.37
4.8,15.6,42.52
4.6,16.2,42.47
4.2,17.2,39.3
3.9,17.9,34.46
3.8,18.6,27.04
3.7,18.6,26.09
3.8,17.5,26.29
4.0,16.6,26.18
4.1,15.2,30.78
4.3,14.4,35.59
4.3,13.8,35.73
4.0,13.7,35.68
3.6,13.6,35.66
3.2,13.6,35.63
3.0,13.5,35.71
2.7,13.2,35.7
2.6,13.1,35.64
2.5,13.0,35.73
2.4,13.1,35.63
2.5,13.3,35.72
2.5,13.2,35.64
2.4,13.4,35.61
2.4,13.4,35.65
2.4,13.7,35.77
2.4,13.6,35.66
2.6,13.5,35.6
2.6,13.4,35.64
2.4,13.2,35.62
2.4,13.2,35.63
2.5,13.2,35.59
2.5,13.3,35.71
2.4,13.3,35.37
2.4,13.3,35.18
2.5,13.2,35.13
2.5,13.2,35.12
2.7,13.0,28.53
2.5,12.9,27.86
2.5,12.4,26.52
2.6,11.3,22.45
2.6,10.4,22.13
2.6,9.0,22.29
2.6,8.4,22.14
2.5,7.6,22.25
