ir_L,ir_R,degree
6.2,23.3,7.63
3.8,40.0,7.58
3.0,72.8,7.56
3.0,63.1,7.57
3.0,69.3,7.56
3.1,71.0,7.54
3.1,72.2,7.66
3.1,73.3,7.59
2.9,73.4,7.6
3.0,73.8,7.59
3.0,74.9,7.58
17.4,2.8,50.62
17.6,2.9,50.7
17.6,2.9,51.33
17.7,2.7,51.59
18.0,2.7,51.55
18.0,2.7,51.62
18.2,2.8,51.58
18.5,2.8,51.56
18.8,2.7,51.45
19.0,2.7,49.6
19.2,2.7,49.72
19.3,2.7,49.74
19.3,2.7,49.31
19.5,2.8,45.33
19.6,2.9,42.28
19.7,2.7,40.99
19.5,2.7,41.04
19.3,2.8,43.17
18.9,2.8,43.6
18.8,3.0,43.66
18.8,3.1,44.85
18.4,2.8,44.87
18.3,2.8,44.85
17.9,2.9,48.39
16.9,3.0,48.79
15.9,3.0,48.68
14.0,2.9,48.77
12.5,3.0,48.75
10.8,3.0,48.77
9.3,3.1,52.75
8.5,3.1,52.99
7.8,3.2,53.05
7.4,3.4,54.86
7.3,3.4,55.6
7.0,3.2,55.6
6.7,3.2,56.99
6.6,3.3,58.94
6.6,3.4,59.66
6.8,3.5,61.14
7.5,3.4,61.13
8.5,3.3,61.02
9.3,3.3,60.83
10.7,3.4,60.8
11.5,3.5,54.49
13.1,3.6,54.19
14.1,3.6,54.24
14.4,3.7,54.2
14.7,3.5,54.27
14.5,3.6,51.48
14.1,3.7,51.52
13.9,3.8,50.68
13.9,3.8,50.72
14.3,3.7,50.69
14.8,3.8,50.68
15.7,3.9,50.74
16.0,3.9,50.69
16.2,3.9,50.71
16.5,4.1,50.74
16.8,4.1,50.79
17.1,4.0,50.74
17.5,4.0,50.76
17.5,4.1,50.7
17.2,4.1,50.71
16.4,4.3,50.68
15.8,4.4,50.75
15.0,4.1,50.72
14.8,4.2,50.74
14.7,4.2,50.78
14.8,4.4,50.82
15.3,4.5,50.78
16.4,4.5,50.73
17.4,4.6,50.73
18.0,4.7,50.73
19.1,4.7,50.71
19.5,4.8,50.81
20.4,5.1,50.73
20.7,5.2,50.72
20.9,5.3,50.72
20.1,5.2,50.76
19.4,5.3,50.71
18.6,5.5,50.7
19.1,5.7,50.73
19.5,5.9,50.72
19.7,6.0,50.75
19.6,6.0,50.72
19.8,6.2,50.7
20.3,6.4,50.71
18.8,6.6,50.71
18.7,6.9,50.72
18.9,7.2,50.71
19.7,7.1,49.67
19.9,7.4,44.66
20.2,7.7,38.31
18.6,8.1,35.9
17.9,8.6,35.65
18.3,9.1,35.74
18.2,9.3,35.7
18.2,9.8,28.53
17.6,10.3,22.09
16.4,10.8,14.49
14.7,11.2,8.23
11.9,11.6,5.49
8.7,11.5,5.41
5.4,11.1,5.63
4.5,10.6,5.58
4.9,9.9,5.77
5.1,9.5,5.75
4.7,10.0,5.82
5.3,9.2,7.67
6.6,7.3,13.47
7.9,6.1,21.87
9.3,5.8,25.88
9.9,5.3,29.72
11.1,5.0,31.53
12.0,5.1,31.53
12.9,5.0,31.55
14.1,4.7,32.47
14.7,4.5,33.96
15.5,4.3,33.94
16.4,4.4,23.67
17.2,4.0,14.26
18.2,3.3,12.39
18.3,3.2,12.36
21.4,3.4,12.74
23.8,3.6,27.0
23.3,3.6,31.66
23.3,3.8,36.79
23.9,3.9,40.82
24.5,3.7,40.84
25.0,3.7,40.78
24.4,3.8,43.01
24.9,4.0,42.93
24.7,4.1,31.57
25.3,4.2,27.33
24.8,4.1,27.32
24.8,4.3,29.9
24.2,4.6,35.97
23.1,4.8,39.73
22.8,5.0,39.73
23.1,5.1,40.87
24.1,5.4,42.29
26.7,5.3,43.53
26.7,5.4,43.51
25.9,5.6,43.61
26.3,6.0,43.55
26.9,6.2,43.57
25.9,6.2,43.49
25.9,6.4,48.0
26.8,6.6,48.08
26.5,6.9,48.08
25.2,7.2,48.07
25.2,7.5,48.06
23.9,7.8,48.11
23.4,8.0,48.05
23.0,8.2,48.05
22.3,8.6,48.08
22.2,9.1,48.07
22.3,9.5,48.06
22.3,10.0,48.03
22.1,10.2,47.95
22.2,10.8,41.92
22.2,11.4,12.28
19.6,12.4,3.1
16.7,14.3,0.03
11.7,14.9,0.09
6.3,14.8,0.03
5.0,14.1,0.04
4.9,13.7,0.06
5.7,12.6,0.05
5.1,11.7,0.1
4.5,10.0,0.09
5.9,8.0,0.21
9.1,6.8,0.03
11.6,5.5,0.1
14.5,4.3,0.12
17.0,3.5,0.03
18.1,2.8,0.03
19.3,2.7,7.61
19.8,2.6,36.04
20.5,2.6,39.73
20.8,2.6,40.53
21.2,2.6,40.46
21.6,2.8,40.51
21.9,2.8,40.4
22.3,2.8,32.94
22.4,2.7,30.86
22.5,2.8,28.12
22.5,2.9,28.12
22.2,3.0,28.41
21.8,3.1,28.39
21.0,3.2,30.84
20.6,3.3,36.59
20.3,3.4,38.55
20.1,3.3,40.12
19.8,3.4,41.5
19.4,3.4,41.47
18.7,3.5,41.52
17.9,3.5,42.54
17.5,3.5,44.34
17.7,3.5,45.8
18.7,3.5,46.39
19.2,3.6,46.24
20.0,3.6,46.25
20.4,3.6,45.97
20.6,3.6,45.93
20.8,3.7,45.04
20.8,3.7,45.0
21.0,3.7,44.87
21.1,3.8,44.88
21.4,3.9,44.96
21.5,3.7,44.94
21.9,3.7,44.88
22.1,3.7,44.86
22.3,3.8,44.9
22.6,3.8,44.92
22.8,3.8,44.9
23.4,3.8,44.97
23.8,3.8,44.91
24.2,3.8,44.88
24.1,3.8,42.18
24.1,3.9,36.94
24.4,4.1,34.95
24.3,4.2,34.97
24.3,4.2,35.07
23.6,4.4,35.23
23.6,4.5,35.13
23.4,4.8,35.09
23.2,4.9,39.46
23.2,4.9,41.1
23.6,5.0,42.86
25.4,5.1,43.02
27.6,5.2,43.04
28.1,5.4,42.92
28.8,5.5,42.75
29.6,5.7,41.17
29.3,5.9,39.26
28.9,6.0,39.16
28.3,6.2,39.17
28.1,6.5,39.21
32.0,6.8,39.31
26.8,7.0,39.39
26.3,7.1,39.88
22.0,7.4,41.65
21.8,7.7,41.58
21.9,7.9,41.55
21.9,8.3,41.54
22.0,8.5,41.63
22.0,8.8,41.52
22.1,9.2,41.54
22.0,9.5,41.5
22.0,9.9,41.5
21.8,10.4,41.62
21.9,10.8,41.43
22.1,11.4,41.33
22.2,11.7,41.09
22.2,12.4,35.48
22.0,13.2,13.57
20.5,14.2,0.08
17.0,15.1,0.03
9.0,15.7,0.08
6.2,16.0,0.18
5.3,15.8,0.11
6.7,15.9,0.08
6.6,15.0,0.06
4.7,14.3,0.03
5.1,12.1,0.03
7.3,9.8,0.07
10.3,10.5,0.03
12.1,10.4,0.17
15.1,7.0,0.09
17.4,4.3,0.05
19.0,3.2,0.03
20.1,3.0,0.03
20.3,3.4,0.13
19.5,3.6,0.64
17.6,4.0,9.77
15.8,4.2,25.83
13.1,4.0,31.05
12.7,4.1,34.26
14.2,4.2,44.13
15.5,4.5,51.03
16.1,4.6,59.37
16.9,4.5,60.34
17.4,4.6,61.27
17.8,4.7,61.28
18.0,4.8,61.29
18.1,4.9,64.09
18.3,5.3,64.21
18.4,5.4,64.2
18.7,5.2,64.71
19.2,5.2,64.7
19.7,5.3,64.69
20.0,5.4,64.61
20.0,5.6,55.53
19.9,5.8,50.54
19.4,5.6,43.22
19.1,5.7,40.47
18.2,5.9,40.47
17.1,6.2,40.4
16.5,6.4,40.47
15.9,6.4,42.08
15.8,6.5,48.5
15.9,6.7,48.46
16.4,6.9,48.61
16.9,7.1,48.49
17.7,7.3,48.47
18.2,7.5,48.52
18.2,7.7,48.49
17.7,7.8,48.5
17.2,8.1,48.48
17.1,8.5,48.48
17.2,8.8,48.47
17.5,9.0,48.45
17.8,9.2,48.46
18.0,9.7,48.42
18.3,10.0,48.3
18.3,10.4,48.24
18.5,10.9,48.25
18.4,11.0,48.23
18.6,11.5,48.24
18.4,11.9,45.59
18.4,12.6,26.64
17.5,14.1,24.09
16.1,16.2,19.69
14.9,16.3,0.48
12.4,16.1,0.03
10.3,14.7,0.02
8.3,14.0,0.06
6.8,13.5,0.08
6.3,11.8,0.07
5.3,8.8,0.02
5.6,4.2,0.1
7.9,4.3,5.84
11.9,5.6,0.11
14.1,4.9,0.02
14.3,3.9,0.02
15.1,3.0,0.1
16.1,2.5,3.05
16.5,2.6,11.88
14.1,3.0,24.62
9.0,3.0,29.01
7.8,3.0,31.16
7.7,3.1,34.34
7.3,3.2,37.08
6.9,3.3,40.81
6.9,3.3,40.81
7.3,3.3,40.77
8.2,3.4,40.83
10.1,3.4,40.77
11.4,3.5,40.86
12.8,3.5,41.18
13.7,3.7,45.55
14.1,3.7,46.39
14.4,3.5,47.65
14.6,3.5,47.93
14.4,3.6,47.94
14.1,3.7,47.81
13.9,3.8,47.83
13.7,3.7,47.87
13.9,3.7,47.83
14.3,3.8,47.97
15.0,3.9,48.62
15.2,4.0,48.66
15.5,4.1,48.61
15.7,3.9,48.66
15.9,4.0,48.64
16.0,4.0,48.71
16.1,4.1,48.6
16.0,4.2,48.63
16.0,4.3,48.72
15.9,4.3,48.63
15.7,4.2,48.7
15.4,4.2,48.64
14.9,4.3,48.65
14.6,4.4,48.65
14.3,4.4,48.62
13.9,4.3,48.63
13.7,4.3,48.63
14.1,4.4,48.67
14.1,4.5,48.62
14.7,4.5,48.62
15.4,4.6,48.63
16.1,4.6,48.66
16.7,4.6,48.59
17.5,4.7,48.61
17.6,4.9,48.61
18.2,5.0,48.61
18.4,5.0,48.63
18.5,5.0,48.59
17.8,5.1,48.61
17.1,5.2,48.67
16.2,5.5,48.62
15.8,5.6,48.59
15.6,5.4,48.65
16.8,5.6,48.67
17.9,5.7,48.62
