ir_L,ir_R,degree
2.6,17.5,47.46
2.5,16.5,47.41
2.7,15.7,47.43
2.7,15.5,55.86
2.5,15.1,71.54
2.5,15.3,75.07
2.6,16.2,77.31
2.7,16.6,77.31
2.8,16.9,77.13
2.9,17.8,76.64
2.9,18.3,74.4
3.0,19.2,72.73
3.3,19.5,67.19
3.7,20.4,67.23
4.7,20.9,67.19
7.0,21.7,64.37
13.9,22.1,62.56
19.2,22.7,54.53
26.6,22.9,54.35
26.0,22.9,54.39
27.8,23.6,54.44
26.8,23.8,54.4
22.9,23.3,54.43
20.4,23.9,54.45
16.1,24.1,54.43
14.1,24.6,54.36
13.2,24.6,54.45
12.7,25.5,54.43
12.8,25.3,54.44
13.4,25.7,54.5
14.9,25.9,54.41
15.3,26.5,50.68
14.5,26.4,50.64
13.0,26.3,50.67
11.3,26.3,50.65
10.9,27.2,50.69
11.7,27.3,50.63
14.0,27.8,50.67
15.1,27.8,50.67
15.1,27.3,50.73
13.8,28.0,50.69
12.0,28.2,50.63
11.6,28.0,50.7
12.8,28.5,50.63
14.0,28.4,50.71
15.6,28.8,50.7
16.2,29.0,50.74
17.9,29.5,50.66
19.5,30.2,50.68
22.0,30.1,50.71
23.3,30.2,50.7
24.1,30.3,50.67
24.6,29.7,50.68
24.4,26.9,50.67
23.4,22.7,50.68
23.5,14.4,50.71
23.6,10.4,50.67
23.6,9.7,50.69
23.6,12.8,50.62
23.2,20.2,47.24
22.7,25.0,46.78
22.5,28.4,43.12
22.3,29.0,42.09
22.2,30.3,42.1
22.3,30.5,42.09
22.6,31.3,42.16
22.5,31.9,42.17
22.6,31.3,42.08
22.1,30.4,42.11
21.7,27.3,42.09
21.0,26.4,42.11
20.5,25.6,42.12
20.2,25.0,42.12
20.0,25.9,42.11
19.8,27.3,42.11
19.6,29.1,42.09
19.4,30.0,42.12
19.4,30.6,42.1
19.5,33.5,42.21
19.2,34.9,42.17
19.1,35.5,42.06
18.7,36.6,36.71
17.8,34.3,34.39
16.1,31.0,33.41
14.8,26.3,33.48
12.6,24.5,33.42
11.0,25.5,33.46
7.7,25.0,33.41
6.1,22.2,33.4
4.8,21.2,33.39
4.4,19.6,33.47
3.9,17.7,33.48
3.9,16.2,33.44
3.6,15.3,33.44
3.5,13.8,36.57
3.5,12.5,46.17
3.5,11.7,46.82
3.3,11.4,46.85
3.1,11.2,46.65
3.0,10.9,46.71
3.1,10.7,35.92
3.0,10.1,31.56
3.1,9.6,31.4
3.0,8.5,31.48
3.1,7.8,31.37
3.2,6.3,28.94
3.3,5.3,28.32
3.4,4.3,28.46
3.5,3.9,28.34
3.7,3.6,28.31
3.8,3.7,28.35
4.0,4.0,28.36
4.3,4.0,28.62
4.4,4.0,28.38
4.7,3.9,28.48
4.8,3.9,28.43
5.1,3.9,28.38
5.3,4.2,28.48
5.7,4.8,28.38
5.9,5.3,28.37
6.4,5.9,28.32
6.9,6.0,28.4
7.3,6.5,28.46
7.4,6.9,28.4
7.9,7.6,28.25
8.2,8.1,28.33
8.8,8.4,28.37
9.5,7.6,28.37
10.2,6.1,28.43
11.0,5.9,28.35
11.7,5.7,28.34
12.5,5.2,28.37
12.9,6.0,34.17
13.2,8.0,37.89
13.2,11.0,40.22
13.4,12.6,40.19
13.4,14.1,40.19
13.3,14.6,40.26
13.3,15.2,40.2
13.5,15.3,40.16
13.8,15.1,40.04
13.9,14.8,39.98
13.7,15.2,39.95
13.6,16.6,39.6
13.5,17.2,36.61
13.5,17.9,33.57
13.3,18.2,24.53
12.9,18.2,22.81
14.1,18.3,22.8
15.7,17.8,22.83
19.1,17.0,22.8
22.4,16.3,28.31
31.9,16.1,39.94
20.9,15.4,41.79
16.0,15.1,41.79
14.5,14.9,41.68
11.5,14.8,41.66
9.2,14.8,41.64
6.6,14.9,41.63
5.5,14.7,41.64
4.1,14.6,41.64
3.6,15.1,41.64
3.1,16.6,41.67
2.7,16.7,41.62
2.6,16.1,41.61
2.8,16.0,41.61
2.8,15.5,41.54
2.4,15.2,36.64
2.4,14.7,36.3
2.6,13.9,35.69
2.6,13.3,32.09
2.6,12.6,32.03
2.4,11.5,28.5
2.4,10.4,26.87
2.8,9.3,26.9
2.9,8.6,26.93
2.6,7.6,26.88
2.7,7.0,23.13
3.0,6.2,10.8
3.2,5.4,3.55
3.6,4.4,0.14
4.1,5.7,0.03
4.4,9.0,0.09
4.9,12.9,0.14
5.2,16.8,0.02
5.9,19.8,0.15
6.6,22.3,0.03
8.5,24.3,0.11
10.2,24.2,0.03
14.9,24.4,4.62
18.3,23.6,41.06
20.6,22.5,41.35
17.9,22.6,43.49
16.0,22.6,47.23
16.4,22.5,47.24
17.7,22.2,47.21
21.6,22.4,47.24
24.1,22.3,47.22
26.3,22.0,47.23
24.1,21.6,47.24
18.1,22.0,47.25
15.9,21.7,48.57
17.1,21.9,50.21
19.0,21.8,50.17
23.0,21.5,50.16
26.0,22.0,50.12
27.3,22.0,50.18
26.0,21.9,50.07
26.2,21.4,49.33
29.9,20.7,49.31
36.7,20.2,49.26
38.9,19.3,47.22
39.1,17.6,46.98
39.2,16.5,42.96
38.5,16.5,42.85
38.9,17.5,38.57
39.3,18.8,38.54
39.2,19.4,38.57
39.9,19.7,38.56
40.8,19.8,38.52
41.3,19.8,40.21
42.4,20.0,40.26
43.1,20.2,42.87
43.7,20.0,42.96
43.5,20.0,43.89
43.8,20.0,43.83
44.2,20.0,45.5
44.8,19.9,45.36
45.2,19.9,45.69
44.9,19.9,46.7
44.8,19.9,46.7
43.6,20.0,46.69
43.9,19.8,48.11
41.1,19.8,48.16
38.9,20.1,49.54
36.6,20.1,49.54
35.0,19.9,49.51
34.8,20.1,49.52
33.9,20.4,49.58
33.6,20.5,49.5
