ir_L,ir_R,degree
7.0,10.8,54.5
7.6,10.8,54.54
7.5,10.3,54.49
7.4,10.4,54.54
7.3,10.3,54.5
7.3,10.3,54.57
7.3,10.1,54.5
7.6,10.2,54.37
7.5,9.9,54.55
7.7,9.9,54.43
7.9,9.9,54.43
8.1,9.6,54.48
8.4,9.4,54.59
8.8,9.4,58.42
8.9,9.3,58.51
9.0,9.3,62.11
9.0,9.1,63.01
8.6,9.2,63.0
8.7,9.5,62.58
8.1,9.5,56.05
8.0,9.6,46.24
7.8,9.0,45.1
7.7,8.5,45.15
7.8,7.7,45.09
7.7,7.2,39.56
7.8,6.6,39.51
7.7,6.3,39.52
7.9,6.5,39.52
8.1,7.3,39.6
8.3,8.1,39.54
8.6,8.6,39.65
8.4,8.9,39.61
8.7,8.9,40.45
9.3,8.0,46.78
9.3,7.1,50.78
9.7,6.7,51.39
9.7,5.3,51.28
9.7,4.6,51.27
9.9,3.4,51.27
9.8,2.5,51.27
9.5,1.7,51.29
9.3,0.8,51.27
9.1,0.5,51.25
8.9,0.3,43.46
8.9,0.0,42.02
8.8,0.6,42.09
8.8,0.8,42.05
8.7,2.0,42.04
8.2,2.7,41.02
7.0,3.7,32.68
5.9,4.2,14.25
4.8,3.5,1.76
4.6,0.4,1.78
4.8,0.5,1.8
5.1,1.6,1.76
5.7,3.1,1.75
5.8,3.1,9.24
6.4,1.8,23.97
6.4,0.7,25.38
5.7,0.2,31.05
5.5,0.0,38.21
4.4,0.0,38.5
3.5,0.0,38.55
2.8,0.0,38.5
2.1,0.0,38.61
1.6,0.0,38.6
1.3,0.0,36.7
1.0,0.0,12.79
0.7,0.0,8.78
1.0,0.0,8.98
1.3,0.0,8.79
1.7,0.0,8.9
2.1,0.0,8.82
2.7,0.0,7.97
3.0,0.0,0.42
3.6,0.0,0.03
4.1,0.0,0.02
5.2,0.0,0.06
5.9,0.1,0.03
6.2,1.9,1.21
7.2,2.9,7.8
8.7,3.9,7.48
9.7,5.1,8.67
11.8,5.7,33.72
13.2,6.4,43.24
13.2,6.7,43.42
12.6,7.0,47.1
12.0,7.8,59.55
11.3,7.8,59.37
10.5,8.3,59.36
10.1,8.8,41.03
9.5,9.4,32.26
8.9,10.2,29.66
9.1,10.4,29.67
9.5,11.0,22.92
9.9,11.5,17.01
10.8,12.1,17.05
12.3,12.4,16.99
12.6,12.2,17.45
14.3,12.2,27.1
15.4,11.4,39.66
16.5,9.9,40.06
16.0,8.2,40.05
15.7,6.3,44.84
15.7,5.7,44.77
15.8,5.7,43.28
16.0,7.0,42.78
15.6,7.8,42.94
15.3,8.8,43.63
14.3,9.3,43.8
14.0,9.6,43.73
