ir1,ir2,degree,time
0,0,1,10:36:41.259993
0,0,1,10:36:41.321480
13.7,3.5,3,10:36:41.351369
13.7,3.5,3,10:36:41.379337
13.6,3.6,3,10:36:41.407462
13.6,3.6,3,10:36:41.436246
13.6,3.6,3,10:36:41.464854
12.6,3.6,3,10:36:41.497072
12.6,3.6,3,10:36:41.526697
12.1,3.5,3,10:36:41.558208
12.1,3.5,3,10:36:41.586065
11.9,3.5,3,10:36:41.613494
11.9,3.5,3,10:36:41.640408
12.1,3.6,3,10:36:41.671367
12.1,3.6,3,10:36:41.701077
12.1,3.5,3,10:36:41.731913
12.1,3.5,3,10:36:41.760832
12.1,3.5,4,10:36:41.787803
12.5,3.5,4,10:36:41.815077
12.5,3.5,4,10:36:41.841731
12.8,3.8,4,10:36:41.872292
12.8,3.8,4,10:36:41.902407
12.9,3.6,4,10:36:41.934131
12.9,3.6,4,10:36:41.963217
12.9,3.6,4,10:36:41.991091
13.2,3.8,4,10:36:42.018508
13.2,3.8,4,10:36:42.045906
13.6,4.2,4,10:36:42.075853
13.6,4.2,4,10:36:42.106590
13.6,4.2,4,10:36:42.136009
13.6,4.2,4,10:36:42.164899
13.6,4.2,4,10:36:42.192149
13.6,4.3,4,10:36:42.220306
13.6,4.3,4,10:36:42.247621
13.6,4.6,4,10:36:42.278095
13.6,4.6,4,10:36:42.308854
13.4,4.3,3,10:36:42.338033
13.4,4.3,3,10:36:42.366711
13.2,4.3,3,10:36:42.394653
13.2,4.3,3,10:36:42.422044
13.2,4.6,3,10:36:42.451350
13.3,4.6,3,10:36:42.482061
13.3,4.6,3,10:36:42.511388
13.4,4.4,3,10:36:42.541438
13.4,4.4,3,10:36:42.570180
13.5,4.3,3,10:36:42.597635
13.5,4.3,3,10:36:42.624356
13.5,4.3,3,10:36:42.651832
13.9,4.6,3,10:36:42.682388
13.9,4.6,3,10:36:42.711738
13.9,4.5,3,10:36:42.741790
13.9,4.5,3,10:36:42.770908
13.9,4.5,3,10:36:42.797621
13.9,4.5,3,10:36:42.824559
14.2,4.5,3,10:36:42.852444
14.2,4.5,3,10:36:42.882654
14.2,4.5,3,10:36:42.912309
14.1,4.7,3,10:36:42.943614
14.1,4.7,3,10:36:42.973006
14.1,4.6,3,10:36:43.000500
14.1,4.6,3,10:36:43.027701
14.3,4.7,3,10:36:43.057250
14.3,4.7,3,10:36:43.084635
14.3,4.7,3,10:36:43.111293
14.4,4.9,3,10:36:43.140149
14.4,4.9,3,10:36:43.169019
14.4,4.9,3,10:36:43.195624
14.4,4.9,3,10:36:43.223472
14.4,4.9,3,10:36:43.251410
14.4,4.9,3,10:36:43.281281
